Purchase ID,Location,Product ID,Order Date,Delivery Date,Order Quantity,Stock Balance,Stock Value
P100001,Apsis,P035,6/1/2024,6/12/2024,449,0,0
P100002,Apsis,P028,6/1/2024,6/17/2024,385,0,0
P100003,Apsis,P031,6/1/2024,6/13/2024,154,0,0
P100004,Apsis,P019,6/1/2024,7/3/2024,201,0,0
P100005,Apsis,P007,6/1/2024,6/23/2024,501,0,0
P100006,Apsis,P020,6/2/2024,7/4/2024,153,0,0
P100007,Apsis,P021,6/2/2024,6/19/2024,388,0,0
P100008,Apsis,P059,6/2/2024,6/13/2024,554,0,0
P100009,Basalt,P059,6/3/2024,6/18/2024,193,0,0
P100010,Apsis,P038,6/3/2024,6/28/2024,609,0,0
P100011,Ceres,P059,6/3/2024,7/6/2024,203,0,0
P100012,Apsis,P014,6/4/2024,6/15/2024,655,0,0
P100013,Apsis,P022,6/4/2024,7/4/2024,337,0,0
P100014,Basalt,P019,6/4/2024,6/22/2024,369,0,0
P100015,Apsis,P066,6/5/2024,6/20/2024,532,0,0
P100016,Apsis,P032,6/5/2024,7/5/2024,456,0,0
P100017,Apsis,P018,6/7/2024,6/21/2024,211,0,0
P100018,Basalt,P022,6/7/2024,6/30/2024,628,0,0
P100019,Apsis,P033,6/7/2024,6/17/2024,531,0,0
P100020,Apsis,P002,6/7/2024,7/7/2024,620,0,0
P100021,Apsis,P070,6/7/2024,6/17/2024,674,0,0
P100022,Apsis,P006,6/8/2024,6/25/2024,231,0,0
P100023,Apsis,P011,6/8/2024,6/30/2024,234,0,0
P100024,Apsis,P062,6/10/2024,6/22/2024,566,0,0
P100025,Apsis,P010,6/10/2024,6/30/2024,562,0,0
P100026,Apsis,P055,6/10/2024,7/6/2024,207,0,0
P100027,Apsis,P053,6/10/2024,7/3/2024,447,0,0
P100028,Apsis,P029,6/11/2024,6/27/2024,194,0,0
P100029,Apsis,P036,6/11/2024,6/26/2024,291,0,0
P100030,Apsis,P067,6/11/2024,6/28/2024,284,0,0
P100031,Apsis,P068,6/11/2024,7/17/2024,461,0,0
P100032,Apsis,P003,6/11/2024,7/6/2024,651,0,0
P100033,Apsis,P044,6/12/2024,6/23/2024,640,0,0
P100034,Basalt,P010,6/12/2024,7/16/2024,423,0,0
P100035,Basalt,P036,6/12/2024,6/27/2024,536,0,0
P100036,Apsis,P043,6/12/2024,6/25/2024,220,0,0
P100037,Basalt,P055,6/14/2024,6/26/2024,202,0,0
P100038,Apsis,P037,6/14/2024,7/2/2024,676,0,0
P100039,Basalt,P070,6/14/2024,7/15/2024,416,0,0
P100040,Apsis,P008,6/15/2024,7/18/2024,637,0,0
P100041,Apsis,P059,6/15/2024,6/28/2024,214,0,0
P100042,Apsis,P064,6/16/2024,7/23/2024,225,0,0
P100043,Ceres,P019,6/16/2024,7/15/2024,227,0,0
P100044,Apsis,P040,6/16/2024,7/5/2024,644,0,0
P100045,Apsis,P039,6/17/2024,7/9/2024,590,0,0
P100046,Apsis,P056,6/17/2024,7/11/2024,295,0,0
P100047,Basalt,P053,6/17/2024,7/5/2024,672,0,0
P100048,Basalt,P008,6/17/2024,7/7/2024,552,0,0
P100049,Apsis,P019,6/17/2024,7/14/2024,657,0,0
P100050,Basalt,P056,6/17/2024,6/28/2024,401,0,0
P100051,Basalt,P002,6/18/2024,7/13/2024,331,0,0
P100052,Ceres,P036,6/19/2024,7/21/2024,582,0,0
P100053,Basalt,P068,6/19/2024,7/14/2024,583,0,0
P100054,Apsis,P049,6/20/2024,7/19/2024,218,0,0
P100055,Basalt,P066,6/20/2024,6/30/2024,370,0,0
P100056,Apsis,P001,6/20/2024,7/11/2024,311,0,0
P100057,Apsis,P005,6/20/2024,7/26/2024,232,0,0
P100058,Apsis,P057,6/20/2024,7/18/2024,407,0,0
P100059,Apsis,P024,6/20/2024,7/5/2024,346,0,0
P100060,Apsis,P004,6/20/2024,7/9/2024,677,0,0
P100061,Ceres,P053,6/21/2024,7/17/2024,292,0,0
P100062,Apsis,P030,6/21/2024,7/9/2024,212,0,0
P100063,Ceres,P056,6/21/2024,7/24/2024,320,0,0
P100064,Apsis,P061,6/21/2024,7/26/2024,552,0,0
P100065,Basalt,P049,6/21/2024,7/17/2024,286,0,0
P100066,Ceres,P066,6/22/2024,7/21/2024,250,0,0
P100067,Apsis,P015,6/22/2024,7/26/2024,262,0,0
P100068,Apsis,P023,6/22/2024,7/21/2024,208,0,0
P100069,Apsis,P046,6/23/2024,7/14/2024,381,0,0
P100070,Apsis,P050,6/23/2024,7/7/2024,375,0,0
P100071,Ceres,P068,6/24/2024,7/26/2024,549,0,0
P100072,Basalt,P005,6/24/2024,7/9/2024,660,0,0
P100073,Apsis,P048,6/24/2024,7/26/2024,367,0,0
P100074,Basalt,P018,6/27/2024,7/19/2024,380,0,0
P100075,Apsis,P060,6/27/2024,7/26/2024,642,0,0
P100076,Apsis,P027,6/27/2024,7/12/2024,378,0,0
P100077,Basalt,P011,6/28/2024,7/14/2024,563,0,0
P100078,Basalt,P044,6/29/2024,7/28/2024,638,0,0
P100079,Apsis,P052,6/30/2024,8/2/2024,583,0,0
P100080,Basalt,P048,6/30/2024,8/8/2024,271,0,0
P100081,Basalt,P015,6/30/2024,7/20/2024,621,0,0
P100082,Apsis,P053,6/30/2024,7/21/2024,405,0,0
P100083,Ceres,P055,6/30/2024,7/19/2024,514,0,0
P100084,Apsis,P042,7/1/2024,7/26/2024,346,0,0
P100085,Ceres,P008,7/1/2024,7/16/2024,384,0,0
P100086,Apsis,P065,7/1/2024,7/19/2024,391,0,0
P100087,Apsis,P063,7/1/2024,8/11/2024,277,0,0
P100088,Basalt,P020,7/1/2024,8/11/2024,256,0,0
P100089,Ceres,P005,7/1/2024,8/3/2024,264,0,0
P100090,Basalt,P023,7/1/2024,8/1/2024,408,0,0
P100091,Basalt,P004,7/1/2024,7/28/2024,410,0,0
P100092,Ceres,P002,7/3/2024,8/7/2024,420,0,0
P100093,Basalt,P059,7/5/2024,8/14/2024,257,0,0
P100094,Basalt,P065,7/5/2024,8/12/2024,205,0,0
P100095,Apsis,P045,7/5/2024,8/10/2024,659,0,0
P100096,Basalt,P050,7/5/2024,7/27/2024,316,0,0
P100097,Basalt,P033,7/5/2024,8/7/2024,160,0,0
P100098,Ceres,P018,7/5/2024,8/8/2024,516,0,0
P100099,Ceres,P048,7/5/2024,8/3/2024,470,0,0
P100100,Apsis,P013,7/5/2024,8/1/2024,620,0,0
P100101,Basalt,P001,7/5/2024,8/11/2024,531,0,0
P100102,Apsis,P025,7/5/2024,7/27/2024,371,0,0
P100103,Basalt,P032,7/6/2024,7/25/2024,402,0,0
P100104,Basalt,P064,7/6/2024,8/2/2024,556,0,0
P100105,Ceres,P011,7/7/2024,8/1/2024,389,0,0
P100106,Ceres,P022,7/7/2024,8/4/2024,549,0,0
P100107,Basalt,P061,7/8/2024,8/2/2024,196,0,0
P100108,Basalt,P021,7/8/2024,8/4/2024,619,0,0
P100109,Ceres,P020,7/8/2024,8/12/2024,604,0,0
P100110,Basalt,P037,7/8/2024,8/12/2024,387,0,0
P100111,Ceres,P049,7/9/2024,8/13/2024,645,0,0
P100112,Apsis,P058,7/10/2024,8/10/2024,175,0,0
P100113,Apsis,P069,7/10/2024,8/13/2024,294,0,0
P100114,Basalt,P046,7/10/2024,7/23/2024,219,0,0
P100115,Ceres,P021,7/11/2024,8/18/2024,582,0,0
P100116,Basalt,P069,7/11/2024,8/9/2024,252,0,0
P100117,Basalt,P052,7/12/2024,7/23/2024,269,0,0
P100118,Basalt,P042,7/12/2024,8/17/2024,236,0,0
P100119,Basalt,P007,7/13/2024,8/2/2024,353,0,0
P100120,Basalt,P062,7/13/2024,8/20/2024,189,0,0
P100121,Apsis,P018,7/13/2024,8/22/2024,540,0,0
P100122,Basalt,P040,7/13/2024,7/25/2024,202,0,0
P100123,Apsis,P009,7/14/2024,8/15/2024,564,0,0
P100124,Basalt,P025,7/14/2024,7/28/2024,452,0,0
P100125,Ceres,P065,7/14/2024,8/13/2024,455,0,0
P100126,Basalt,P003,7/15/2024,8/22/2024,244,0,0
P100127,Basalt,P067,7/15/2024,8/23/2024,607,0,0
P100128,Apsis,P005,7/15/2024,8/19/2024,643,0,0
P100129,Apsis,P017,7/15/2024,8/2/2024,326,0,0
P100130,Basalt,P017,7/15/2024,7/26/2024,322,0,0
P100131,Apsis,P055,7/16/2024,8/21/2024,479,0,0
P100132,Apsis,P036,7/16/2024,7/28/2024,528,0,0
P100133,Ceres,P001,7/17/2024,8/25/2024,344,0,0
P100134,Basalt,P043,7/17/2024,8/8/2024,152,0,0
P100135,Basalt,P036,7/17/2024,8/27/2024,304,0,0
P100136,Apsis,P068,7/17/2024,8/16/2024,243,0,0
P100137,Apsis,P065,7/17/2024,8/11/2024,223,0,0
P100138,Ceres,P023,7/18/2024,8/4/2024,449,0,0
P100139,Ceres,P043,7/18/2024,8/17/2024,443,0,0
P100140,Ceres,P052,7/18/2024,8/7/2024,244,0,0
P100141,Apsis,P049,7/19/2024,8/22/2024,315,0,0
P100142,Ceres,P050,7/19/2024,8/7/2024,206,0,0
P100143,Ceres,P070,7/20/2024,8/19/2024,530,0,0
P100144,Ceres,P036,7/20/2024,8/2/2024,214,0,0
P100145,Apsis,P036,7/20/2024,8/17/2024,563,0,0
P100146,Basalt,P013,7/21/2024,8/31/2024,455,0,0
P100147,Apsis,P011,7/21/2024,8/13/2024,449,0,0
P100148,Apsis,P048,7/21/2024,8/31/2024,374,0,0
P100149,Apsis,P016,7/22/2024,8/11/2024,428,0,0
P100150,Apsis,P026,7/22/2024,8/19/2024,419,0,0
P100151,Ceres,P013,7/23/2024,8/17/2024,180,0,0
P100152,Ceres,P059,7/23/2024,8/19/2024,222,0,0
P100153,Basalt,P009,7/24/2024,8/7/2024,630,0,0
P100154,Basalt,P057,7/24/2024,8/22/2024,559,0,0
P100155,Apsis,P013,7/25/2024,8/29/2024,626,0,0
P100156,Basalt,P035,7/25/2024,8/22/2024,477,0,0
P100157,Apsis,P047,7/26/2024,9/4/2024,580,0,0
P100158,Ceres,P004,7/26/2024,8/28/2024,591,0,0
P100159,Ceres,P037,7/27/2024,8/26/2024,243,0,0
P100160,Ceres,P015,7/27/2024,8/28/2024,664,0,0
P100161,Basalt,P019,7/27/2024,8/19/2024,526,0,0
P100162,Ceres,P046,7/28/2024,8/19/2024,666,0,0
P100163,Apsis,P022,7/28/2024,8/10/2024,448,0,0
P100164,Ceres,P009,7/28/2024,9/7/2024,639,0,0
P100165,Apsis,P034,8/1/2024,8/18/2024,182,0,0
P100166,Basalt,P060,8/2/2024,8/18/2024,404,0,0
P100167,Ceres,P017,8/2/2024,8/18/2024,447,0,0
P100168,Ceres,P042,8/2/2024,8/17/2024,667,0,0
P100169,Apsis,P051,8/2/2024,8/19/2024,152,0,0
P100170,Apsis,P041,8/2/2024,8/30/2024,371,0,0
P100171,Apsis,P002,8/3/2024,8/31/2024,522,0,0
P100172,Apsis,P037,8/3/2024,8/14/2024,313,0,0
P100173,Basalt,P013,8/4/2024,8/20/2024,209,0,0
P100174,Basalt,P024,8/5/2024,8/23/2024,526,0,0
P100175,Apsis,P023,8/5/2024,9/6/2024,622,0,0
P100176,Apsis,P056,8/5/2024,8/22/2024,410,0,0
